press,temp,hum
260.007568359375,25.0,0.0
260.000732421875,25.0,0.0
260.0,25.015625,0.1015625
260.0,25.015625,0.1171875
260.053466796875,25.0,0.14453125
260.0166015625,25.0,0.0
260.0283203125,24.984375,0.0
260.0,24.984375,0.0
260.00244140625,25.0,0.0
260.02490234375,24.984375,0.0
260.046630859375,25.015625,0.08203125
260.01513671875,25.0,0.3671875
260.0234375,25.0,0.13671875
260.0,25.0,0.54296875
260.03759765625,25.0,0.0
260.0,25.0,0.01953125
260.0,24.984375,0.0
260.015869140625,24.984375,0.0
260.060546875,24.984375,0.0
260.0,24.96875,0.0
260.03466796875,24.96875,0.15625
260.08251953125,24.953125,0.14453125
260.005126953125,24.96875,0.0
260.005126953125,24.96875,0.0
260.04150390625,24.984375,0.3671875
260.0,25.015625,0.1875
260.029052734375,25.0,0.0
260.0,25.015625,0.0
260.0,25.015625,0.28515625
260.0,25.0,0.0
260.0,25.015625,0.0
260.0,25.015625,0.0
260.0,25.015625,0.0
260.0,25.015625,0.140625
260.085693359375,25.015625,0.0
260.025390625,25.015625,0.0
260.0,25.0,0.05078125
260.0,25.0,0.0
260.025634765625,25.0,0.01953125
260.0,24.984375,0.15625
press,temp,hum
260.05517578125,25.0,0.59765625
260.002197265625,24.984375,0.42578125
260.013671875,25.015625,0.0
260.0400390625,25.015625,0.19921875
260.0,25.015625,0.0
260.09375,25.015625,0.0
260.014404296875,25.0,0.0
260.0,25.0,0.8125
260.0,25.0,0.0
260.0224609375,24.984375,0.0
260.0,24.984375,0.0
260.043212890625,24.96875,0.25
260.07568359375,24.96875,0.59765625
260.008544921875,25.015625,0.09765625
260.036865234375,25.015625,0.34765625
260.033203125,25.015625,0.0
260.0,25.015625,0.25390625
260.0,25.0,0.0
260.0,25.0,0.0
260.0,24.96875,0.37890625
